"Source","Target","Type","Id","Label","Interval","Weight"
"eow","arw","undirected",8,8,"",2
"far","arw","undirected",12,12,"",1
"far","eow","undirected",15,15,"",4
"kab","bor","undirected",18,18,"",2
"kab","djo","undirected",19,19,"",3
"lin","any","undirected",22,22,"",4
"lin","kab","undirected",28,28,"",0
"nat","any","undirected",29,29,"",0
"nat","eow","undirected",33,33,"",3
"qui","arw","undirected",38,38,"",3
"qui","far","undirected",42,42,"",0
"qui","kab","undirected",43,43,"",1
"spl","any","undirected",46,46,"",2
"spl","bor","undirected",48,48,"",0
"spl","djo","undirected",49,49,"",4
"spl","eow","undirected",50,50,"",4
"spl","lin","undirected",53,53,"",5
"the","eow","undirected",60,60,"",2
"the","lin","undirected",63,63,"",4
"the","spl","undirected",66,66,"",1
"uli","kab","undirected",73,73,"",3
"uli","nat","undirected",75,75,"",1
"veg","any","undirected",79,79,"",5
"veg","kab","undirected",85,85,"",1
"veg","lin","undirected",86,86,"",2
"veg","nat","undirected",87,87,"",2
"vla","djo","undirected",95,95,"",2
"vla","eow","undirected",96,96,"",4
"vol","arw","undirected",107,107,"",4
"vol","eow","undirected",110,110,"",2
"vol","far","undirected",111,111,"",3
"vol","qui","undirected",115,115,"",3
"vol","uli","undirected",118,118,"",0
"vol","vla","undirected",120,120,"",2
"yel","any","undirected",121,121,"",1
"yel","arw","undirected",122,122,"",0
"yel","qui","undirected",130,130,"",3
"yel","vol","undirected",136,136,"",2
"yva","kab","undirected",143,143,"",5
